region,text_type,source,ttr,unique_ratio,hapax_ratio,avg_freq,n_words,n_unique
не определён,corpus,opencorpora,0.829,0.889,0.917,1.12,105,87
не определён,corpus,opencorpora,0.824,0.901,0.938,1.11,91,75
не определён,corpus,opencorpora,0.589,0.653,0.704,1.53,197,116
не определён,corpus,opencorpora,0.657,0.777,0.842,1.29,402,264
не определён,corpus,opencorpora,0.608,0.669,0.784,1.49,189,115
не определён,corpus,opencorpora,0.587,0.675,0.74,1.48,155,91
не определён,corpus,opencorpora,0.693,0.756,0.78,1.32,101,70
не определён,corpus,opencorpora,0.734,0.83,0.871,1.2,203,149
не определён,corpus,opencorpora,0.616,0.685,0.784,1.46,203,125
не определён,corpus,opencorpora,0.765,0.815,0.833,1.23,102,78
не определён,corpus,opencorpora,0.672,0.72,0.787,1.39,186,125
не определён,corpus,opencorpora,0.638,0.671,0.642,1.49,105,67
не определён,corpus,opencorpora,0.647,0.725,0.77,1.38,173,112
не определён,corpus,opencorpora,0.775,0.795,0.818,1.26,102,79
не определён,corpus,opencorpora,0.722,0.796,0.807,1.26,176,127
не определён,corpus,opencorpora,0.786,0.819,0.844,1.22,117,92
не определён,corpus,opencorpora,0.622,0.739,0.797,1.35,241,150
не определён,corpus,opencorpora,0.614,0.643,0.784,1.55,153,94
не определён,corpus,opencorpora,0.516,0.592,0.683,1.69,419,216
не определён,corpus,opencorpora,0.628,0.764,0.807,1.31,417,262
не определён,corpus,opencorpora,0.851,0.838,0.871,1.19,47,40
не определён,corpus,opencorpora,0.826,0.892,0.892,1.12,121,100
не определён,corpus,opencorpora,0.763,0.849,0.863,1.18,114,87
не определён,corpus,opencorpora,0.464,0.525,0.637,1.9,401,186
не определён,corpus,opencorpora,0.806,0.833,0.822,1.2,62,50
не определён,corpus,opencorpora,0.889,0.918,0.911,1.09,63,56
не определён,corpus,opencorpora,0.765,0.875,0.883,1.14,119,91
не определён,corpus,opencorpora,0.681,0.719,0.79,1.39,163,111
не определён,corpus,opencorpora,0.541,0.673,0.768,1.49,460,249
не определён,corpus,opencorpora,0.644,0.749,0.771,1.33,413,266
не определён,corpus,opencorpora,0.598,0.687,0.765,1.46,396,237
не определён,corpus,opencorpora,0.645,0.798,0.857,1.25,414,267
не определён,corpus,opencorpora,0.689,0.825,0.842,1.21,415,286
не определён,corpus,opencorpora,0.64,0.742,0.804,1.35,422,270
не определён,corpus,opencorpora,0.705,0.778,0.857,1.29,44,31
не определён,corpus,opencorpora,0.732,0.798,0.811,1.25,153,112
не определён,corpus,opencorpora,0.513,0.537,0.51,1.86,119,61
не определён,corpus,opencorpora,0.654,0.708,0.787,1.41,130,85
не определён,corpus,opencorpora,0.679,0.752,0.841,1.33,137,93
не определён,corpus,opencorpora,0.516,0.615,0.707,1.63,434,224
не определён,corpus,opencorpora,0.698,0.754,0.814,1.33,139,97
не определён,corpus,opencorpora,0.597,0.673,0.747,1.48,196,117
не определён,corpus,opencorpora,0.73,0.754,0.811,1.33,152,111
не определён,corpus,opencorpora,0.559,0.639,0.766,1.56,245,137
не определён,corpus,opencorpora,0.68,0.788,0.795,1.27,403,274
не определён,corpus,opencorpora,0.65,0.796,0.851,1.26,448,291
не определён,corpus,opencorpora,0.869,0.9,0.905,1.11,84,73
не определён,corpus,opencorpora,0.761,0.832,0.861,1.2,117,89
не определён,corpus,opencorpora,0.635,0.748,0.832,1.34,408,259
не определён,corpus,opencorpora,0.729,0.762,0.8,1.31,129,94
не определён,corpus,opencorpora,0.672,0.822,0.873,1.22,421,283
не определён,corpus,opencorpora,0.67,0.787,0.837,1.27,409,274
не определён,corpus,opencorpora,0.74,0.744,0.75,1.34,50,37
не определён,corpus,opencorpora,0.632,0.743,0.823,1.35,440,278
не определён,corpus,opencorpora,0.776,0.855,0.898,1.17,85,66
не определён,corpus,opencorpora,0.58,0.679,0.74,1.47,250,145
не определён,corpus,opencorpora,0.604,0.727,0.667,1.38,48,29
не определён,corpus,opencorpora,0.62,0.718,0.794,1.39,192,119
не определён,corpus,opencorpora,0.621,0.69,0.744,1.45,285,177
не определён,corpus,opencorpora,0.771,0.805,0.824,1.24,131,101
не определён,corpus,opencorpora,0.652,0.697,0.742,1.44,115,75
не определён,corpus,opencorpora,0.436,0.508,0.6,1.97,78,34
не определён,corpus,opencorpora,0.537,0.676,0.674,1.48,95,51
не определён,corpus,opencorpora,0.55,0.584,0.607,1.71,278,153
не определён,corpus,opencorpora,0.719,0.8,0.857,1.25,96,69
не определён,corpus,opencorpora,0.609,0.701,0.8,1.43,289,176
не определён,corpus,opencorpora,0.72,0.77,0.789,1.3,182,131
не определён,corpus,opencorpora,0.808,0.886,0.89,1.13,151,122
не определён,corpus,opencorpora,0.763,0.891,0.889,1.12,135,103
не определён,corpus,opencorpora,0.7,0.781,0.801,1.28,237,166
не определён,corpus,opencorpora,0.699,0.752,0.813,1.33,153,107
не определён,corpus,opencorpora,0.639,0.713,0.777,1.4,244,156
не определён,corpus,opencorpora,0.688,0.807,0.827,1.24,404,278
не определён,corpus,opencorpora,0.753,0.804,0.874,1.24,178,134
не определён,corpus,opencorpora,0.593,0.679,0.767,1.47,312,185
не определён,corpus,opencorpora,0.586,0.66,0.723,1.51,399,234
не определён,corpus,opencorpora,0.601,0.686,0.701,1.46,203,122
не определён,corpus,opencorpora,0.724,0.802,0.782,1.25,163,118
не определён,corpus,opencorpora,0.638,0.712,0.75,1.4,152,97
не определён,corpus,opencorpora,0.655,0.727,0.812,1.38,171,112
не определён,corpus,opencorpora,0.699,0.74,0.806,1.35,176,123
не определён,corpus,opencorpora,0.659,0.747,0.803,1.34,132,87
не определён,corpus,opencorpora,0.778,0.868,0.891,1.15,72,56
